EASTING,NORTHING,TYPE,LOCATION,USRN
529308.0153,175317.4913,Sheffield,THE PAVEMENT,21901360
529290.5736,175342.822,Sheffield,THE PAVEMENT,21901360
531397.2724,179907.2343,Other,THE CUT,21901359
531399.4594,179908.7459,Other,THE CUT,21901359
531400.164,179909.1566,Other,THE CUT,21901359
531479.6404,179956.8005,Other,THE CUT,21901359
531479.2515,179957.8716,Other,THE CUT,21901359
531478.4009,179958.3193,Other,THE CUT,21901359
531477.7254,179956.0372,Other,THE CUT,21901359
531477.2486,179957.0574,Other,THE CUT,21901359
531476.4489,179957.4173,Other,THE CUT,21901359
531399.9998,179892.1874,Other,THE CUT,21901359
531401.0843,179892.7533,Other,THE CUT,21901359
531399.0966,179891.7155,Other,THE CUT,21901359
531397.9225,179891.1018,Other,THE CUT,21901359
531390.9403,179887.0797,Other,THE CUT,21901359
531386.2076,179884.691,Other,THE CUT,21901359
531387.2018,179885.2101,Other,THE CUT,21901359
531392.9208,179888.5737,Other,THE CUT,21901359
531391.9781,179887.7364,Other,THE CUT,21901359
531364.0883,179872.2758,Other,THE CUT,21901359
531363.1372,179871.8935,Other,THE CUT,21901359
531930.9355,174402.2849,Sheffield,RAILTON ROAD,21901135
531931.6728,174401.2701,Sheffield,RAILTON ROAD,21901135
531932.3616,174400.3262,Sheffield,RAILTON ROAD,21901135
531932.9183,174399.346,Sheffield,RAILTON ROAD,21901135
531933.7156,174398.3191,Sheffield,RAILTON ROAD,21901135
531932.4288,174403.2409,Sheffield,RAILTON ROAD,21901135
531934.1264,174404.2811,Sheffield,RAILTON ROAD,21901135
531933.1661,174402.2255,Sheffield,RAILTON ROAD,21901135
531933.9034,174401.2101,Sheffield,RAILTON ROAD,21901135
531934.4838,174400.3499,Sheffield,RAILTON ROAD,21901135
531935.2441,174399.4551,Sheffield,RAILTON ROAD,21901135
531935.8729,174398.5233,Sheffield,RAILTON ROAD,21901135
531934.84,174403.1464,Sheffield,RAILTON ROAD,21901135
531935.5403,174402.2625,Sheffield,RAILTON ROAD,21901135
531936.0371,174401.2944,Sheffield,RAILTON ROAD,21901135
531936.8096,174400.4589,Sheffield,RAILTON ROAD,21901135
531937.3784,174399.5387,Sheffield,RAILTON ROAD,21901135
529159.2312,175478.8807,Sheffield,CLAPHAM COMMON NORTH SIDE,21900339
529157.8512,175476.9372,Sheffield,CLAPHAM COMMON NORTH SIDE,21900339
529155.7247,175473.8378,Sheffield,CLAPHAM COMMON NORTH SIDE,21900339
530044.8661,175612.006,Sheffield,BEDFORD ROAD,21900157
530045.0091,175609.9298,Sheffield,BEDFORD ROAD,21900157
530049.7091,175599.0922,Sheffield,BEDFORD ROAD,21900157
530027.2323,175686.7915,Other,BEDFORD ROAD,21900157
530025.9631,175687.2198,Other,BEDFORD ROAD,21900157
529363.6828,174515.0453,Sheffield,ABBEVILLE ROAD,21900061
529362.8304,174513.658,Sheffield,ABBEVILLE ROAD,21900061
529350.108,174491.3279,Sheffield,ABBEVILLE ROAD,21900061
529349.5234,174490.3228,Sheffield,ABBEVILLE ROAD,21900061
529337.9649,174472.3837,Sheffield,ABBEVILLE ROAD,21900061
529336.8683,174470.4208,Sheffield,ABBEVILLE ROAD,21900061
529298.1634,174405.3594,Sheffield,ABBEVILLE ROAD,21900061
529331.8121,174444.1286,Sheffield,ABBEVILLE ROAD,21900061
529333.6381,174447.0651,Sheffield,ABBEVILLE ROAD,21900061
529361.9483,174493.0411,Sheffield,ABBEVILLE ROAD,21900061
529362.8746,174494.5563,Sheffield,ABBEVILLE ROAD,21900061
529377.3302,174516.5217,Sheffield,ABBEVILLE ROAD,21900061
529378.3044,174517.9969,Sheffield,ABBEVILLE ROAD,21900061
530725.0638,178630.6531,Sheffield,BLACK PRINCE ROAD,21900191
529686.8682,173142.4632,Sheffield,EMMANUEL ROAD,21900521
529689.3508,173144.5151,Sheffield,EMMANUEL ROAD,21900521
529702.141,173151.3846,Sheffield,EMMANUEL ROAD,21900521
532538.7455,172609.2115,Sheffield,ROSENDALE ROAD,21901178
532537.8295,172608.8753,Sheffield,ROSENDALE ROAD,21901178
532536.9135,172608.5384,Sheffield,ROSENDALE ROAD,21901178
531327.6395,179841.0564,Other,WEBBER STREET,21901472
531324.7297,179844.4036,Other,WEBBER STREET,21901472
531326.0189,179842.6031,Other,WEBBER STREET,21901472
531325.2549,179843.5978,Other,WEBBER STREET,21901472
531326.7028,179841.6707,Other,WEBBER STREET,21901472
531239.9147,179085.4383,Sheffield,BROOK DRIVE,21900252
531242.8815,179072.4276,Sheffield,BROOK DRIVE,21900252
530345.4415,175788.1437,Sheffield,LANDOR ROAD,21900834
530347.3226,175788.9627,Sheffield,LANDOR ROAD,21900834
531284.1091,175327.8981,Sheffield,ATLANTIC ROAD,21900122
531341.3208,175215.7332,Sheffield,ATLANTIC ROAD,21900122
531341.9127,175214.3853,Sheffield,ATLANTIC ROAD,21900122
531342.5967,175212.7913,Sheffield,ATLANTIC ROAD,21900122
531294.2052,175292.0006,Sheffield,ATLANTIC ROAD,21900122
531293.5,175293.211,Sheffield,ATLANTIC ROAD,21900122
532338.9455,171193.4874,Sheffield,ELDER ROAD,21900506
532338.4645,171194.842,Sheffield,ELDER ROAD,21900506
532339.6725,171191.9873,Sheffield,ELDER ROAD,21900506
532340.2577,171190.4183,Sheffield,ELDER ROAD,21900506
532340.8466,171189.2042,Sheffield,ELDER ROAD,21900506
532341.4676,171187.7417,Sheffield,ELDER ROAD,21900506
531128.369,175663.8131,Other,GRESHAM ROAD,21900641
531128.773,175664.98,Other,GRESHAM ROAD,21900641
531129.1329,175666.0638,Other,GRESHAM ROAD,21900641
531129.4491,175667.064,Other,GRESHAM ROAD,21900641
531129.8042,175667.9382,Other,GRESHAM ROAD,21900641
531128.1842,175663.0613,Other,GRESHAM ROAD,21900641
529810.3463,170493.3205,Sheffield,GREYHOUND LANE,21900642
529830.0186,170509.8934,Sheffield,GREYHOUND LANE,21900642
529828.5222,170508.7902,Sheffield,GREYHOUND LANE,21900642
529790.3571,170491.1468,Sheffield,GREYHOUND LANE,21900642
529797.0011,170496.9972,Sheffield,GREYHOUND LANE,21900642
529801.4309,170500.9472,Sheffield,GREYHOUND LANE,21900642
529800.0424,170499.7174,Sheffield,GREYHOUND LANE,21900642
531138.3106,179470.3264,Other,BAYLIS ROAD,21900148
531139.2902,179472.1239,Other,BAYLIS ROAD,21900148
531138.5535,179471.1576,Other,BAYLIS ROAD,21900148
530079.1498,176780.1166,Sheffield,LANSDOWNE WAY,21900844
530080.5601,176780.923,Sheffield,LANSDOWNE WAY,21900844
531835.475,172542.7482,Sheffield,LANCASTER AVENUE,21900833
532279.5928,172856.5397,Sheffield,LANCASTER AVENUE,21900833
532278.7986,172855.8745,Sheffield,LANCASTER AVENUE,21900833
532278.1473,172855.0869,Sheffield,LANCASTER AVENUE,21900833
532277.493,172854.4835,Sheffield,LANCASTER AVENUE,21900833
532276.6927,172853.7662,Sheffield,LANCASTER AVENUE,21900833
532276.0348,172852.9266,Sheffield,LANCASTER AVENUE,21900833
532275.4259,172852.2644,Sheffield,LANCASTER AVENUE,21900833
532274.8843,172851.5156,Sheffield,LANCASTER AVENUE,21900833
532274.1034,172850.954,Sheffield,LANCASTER AVENUE,21900833
532273.4655,172850.27,Sheffield,LANCASTER AVENUE,21900833
529216.655,175686.6479,Sheffield,OLD TOWN,21901052
529205.626,175593.5029,Sheffield,OLD TOWN,21901052
529205.6987,175594.9696,Sheffield,OLD TOWN,21901052
529261.3286,175408.6522,Sheffield,OLD TOWN,21901052
529260.6513,175410.2692,Sheffield,OLD TOWN,21901052
529259.6595,175413.1578,Sheffield,OLD TOWN,21901052
529259.09,175414.742,Sheffield,OLD TOWN,21901052
529222.1813,175582.5362,Sheffield,OLD TOWN,21901052
529221.9451,175585.8598,Sheffield,OLD TOWN,21901052
529214.2081,175551.2611,Sheffield,OLD TOWN,21901052
529214.537,175549.357,Sheffield,OLD TOWN,21901052
529205.9495,175546.0074,Sheffield,OLD TOWN,21901052
529206.3178,175546.9955,Sheffield,OLD TOWN,21901052
529202.8525,175572.3032,Sheffield,OLD TOWN,21901052
529203.422,175573.6306,Sheffield,OLD TOWN,21901052
529188.7622,175532.3133,Sheffield,OLD TOWN,21901052
529188.2866,175531.2392,Sheffield,OLD TOWN,21901052
529469.9015,170123.0025,Sheffield,STREATHAM VALE,21901329
529470.7896,170124.3856,Sheffield,STREATHAM VALE,21901329
529471.6517,170125.7226,Sheffield,STREATHAM VALE,21901329
529481.0063,170138.9902,Sheffield,STREATHAM VALE,21901329
529480.1999,170137.864,Sheffield,STREATHAM VALE,21901329
529663.0326,170349.7302,Sheffield,STREATHAM VALE,21901329
529311.0044,175313.0875,Sheffield,THE PAVEMENT,21901360
